time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-02 00:00:00+00:00,10,8,63,10
2024-04-03 00:00:00+00:00,43,20,51,15
2024-04-04 00:00:00+00:00,10,8,19,8
2024-04-05 00:00:00+00:00,18,12,57,12
2024-04-06 00:00:00+00:00,3,3,44,7
2024-04-07 00:00:00+00:00,4,3,4,3
2024-04-08 00:00:00+00:00,17,10,24,12
2024-04-09 00:00:00+00:00,15,10,90,18
2024-04-10 00:00:00+00:00,16,10,58,13
2024-04-11 00:00:00+00:00,7,6,42,14
2024-04-12 00:00:00+00:00,14,12,48,18
2024-04-13 00:00:00+00:00,8,6,12,7
2024-04-14 00:00:00+00:00,3,2,15,7
2024-04-15 00:00:00+00:00,7,5,59,14
