time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-09-30 00:00:00+00:00,4.0,3.0,,
2022-10-01 00:00:00+00:00,4.0,4.0,5.0,4.0
2022-10-02 00:00:00+00:00,7.0,6.0,2.0,2.0
2022-10-03 00:00:00+00:00,29.0,7.0,19.0,2.0
2022-10-04 00:00:00+00:00,5.0,2.0,2.0,1.0
2022-10-05 00:00:00+00:00,1.0,1.0,2.0,2.0
2022-10-06 00:00:00+00:00,4.0,4.0,6.0,2.0
2022-10-07 00:00:00+00:00,3.0,2.0,1.0,1.0
2022-10-08 00:00:00+00:00,9.0,4.0,2.0,1.0
2022-10-09 00:00:00+00:00,2.0,2.0,,
2022-10-10 00:00:00+00:00,3.0,3.0,1.0,1.0
2022-10-11 00:00:00+00:00,2.0,2.0,7.0,5.0
2022-10-12 00:00:00+00:00,2.0,2.0,1.0,1.0
2022-10-13 00:00:00+00:00,,,1.0,1.0
