url_path,views_total,views_unique
/PetervanLunteren/EcoAssist,153,93
/PetervanLunteren/EcoAssist/blob/main/Windows_no_admin_install.md,28,13
/PetervanLunteren/EcoAssist/blob/main/README.md,14,7
/PetervanLunteren/EcoAssist/blob/main/imgs/demo.gif,11,10
/PetervanLunteren/EcoAssist/blob/main/imgs/users.jpg,8,8
/PetervanLunteren/EcoAssist/blob/main/Windows_install_EcoAssist.bat,5,3
/PetervanLunteren/EcoAssist/blob/main/imgs/example_4.jpg,4,4
/PetervanLunteren/EcoAssist/graphs/contributors,4,3
/PetervanLunteren/EcoAssist/releases/tag/v2.1,4,3
/PetervanLunteren/EcoAssist/blob/main/imgs/example_3.jpg,3,3
