time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-27 00:00:00+00:00,6,5,22,10
2023-12-28 00:00:00+00:00,11,7,34,4
2023-12-29 00:00:00+00:00,7,2,41,4
2023-12-30 00:00:00+00:00,12,6,59,5
2023-12-31 00:00:00+00:00,3,3,12,4
2024-01-01 00:00:00+00:00,8,6,18,5
2024-01-02 00:00:00+00:00,11,5,19,10
2024-01-03 00:00:00+00:00,8,6,29,12
2024-01-04 00:00:00+00:00,10,4,78,11
2024-01-05 00:00:00+00:00,5,5,73,7
2024-01-06 00:00:00+00:00,10,2,20,3
2024-01-07 00:00:00+00:00,19,4,10,3
2024-01-08 00:00:00+00:00,9,7,54,14
2024-01-09 00:00:00+00:00,29,11,184,16
