time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-10-16 00:00:00+00:00,4.0,3.0,1,1
2022-10-17 00:00:00+00:00,10.0,7.0,8,3
2022-10-18 00:00:00+00:00,45.0,16.0,60,3
2022-10-19 00:00:00+00:00,54.0,16.0,155,4
2022-10-20 00:00:00+00:00,42.0,10.0,32,1
2022-10-21 00:00:00+00:00,20.0,8.0,28,8
2022-10-22 00:00:00+00:00,5.0,4.0,3,3
2022-10-23 00:00:00+00:00,22.0,10.0,33,6
2022-10-24 00:00:00+00:00,32.0,12.0,58,5
2022-10-25 00:00:00+00:00,81.0,18.0,201,7
2022-10-26 00:00:00+00:00,20.0,9.0,27,5
2022-10-27 00:00:00+00:00,1.0,1.0,4,1
2022-10-28 00:00:00+00:00,4.0,4.0,9,2
2022-10-29 00:00:00+00:00,,,18,1
