url_path,views_total,views_unique
/PetervanLunteren/EcoAssist,87,49
/PetervanLunteren/EcoAssist/blob/main/Windows_no_admin_install.md,14,8
/PetervanLunteren/EcoAssist/blob/main/README.md,6,4
/PetervanLunteren/EcoAssist/find/main,6,1
/PetervanLunteren/EcoAssist/issues,4,4
/PetervanLunteren/EcoAssist/blob/main/Windows_install_EcoAssist.bat,3,1
/PetervanLunteren/EcoAssist/issues/3,2,2
/PetervanLunteren/EcoAssist/blob/main/imgs/demo.gif,1,1
/PetervanLunteren/EcoAssist/blob/main/imgs/users.jpg,1,1
/PetervanLunteren/EcoAssist/blob/main/MacOS_Linux_install_EcoAssist.command,1,1
