url_path,views_total,views_unique
/PetervanLunteren/EcoAssist,207,88
/PetervanLunteren/EcoAssist/pull/2,28,3
/PetervanLunteren/EcoAssist/blob/main/README.md,23,3
/PetervanLunteren/EcoAssist/pulls,23,3
/PetervanLunteren/EcoAssist/edit/main/README.md,18,1
/PetervanLunteren/EcoAssist/blob/main/Windows_no_admin_install.md,15,2
/PetervanLunteren/EcoAssist/blob/main/EcoAssist_GUI.py,10,6
/PetervanLunteren/EcoAssist/blob/main/imgs/demo.gif,7,5
/PetervanLunteren/EcoAssist/blob/main/Windows_install_EcoAssist.bat,7,3
/PetervanLunteren/EcoAssist/pull/2/commits,7,2
