time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-11 00:00:00+00:00,1,1,5,3
2025-01-12 00:00:00+00:00,7,5,109,12
2025-01-13 00:00:00+00:00,12,6,52,21
2025-01-14 00:00:00+00:00,1,1,58,22
2025-01-15 00:00:00+00:00,16,10,88,24
2025-01-16 00:00:00+00:00,64,18,588,20
2025-01-17 00:00:00+00:00,44,11,270,29
2025-01-18 00:00:00+00:00,1,1,19,9
2025-01-19 00:00:00+00:00,19,6,124,4
2025-01-20 00:00:00+00:00,19,7,132,20
2025-01-21 00:00:00+00:00,4,4,103,22
2025-01-22 00:00:00+00:00,7,5,80,15
2025-01-23 00:00:00+00:00,8,6,54,18
2025-01-24 00:00:00+00:00,8,5,101,12
