time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-06 00:00:00+00:00,8,6,40,11
2024-11-07 00:00:00+00:00,21,17,98,25
2024-11-08 00:00:00+00:00,29,17,120,20
2024-11-09 00:00:00+00:00,8,5,17,7
2024-11-10 00:00:00+00:00,10,8,14,10
2024-11-11 00:00:00+00:00,14,14,70,25
2024-11-12 00:00:00+00:00,14,13,183,37
2024-11-13 00:00:00+00:00,22,13,108,24
2024-11-14 00:00:00+00:00,10,8,52,20
2024-11-15 00:00:00+00:00,16,13,59,18
2024-11-16 00:00:00+00:00,15,4,55,7
2024-11-17 00:00:00+00:00,1,1,8,7
2024-11-18 00:00:00+00:00,10,9,40,17
2024-11-19 00:00:00+00:00,11,10,82,23
