time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-15 00:00:00+00:00,16,6,74,19
2024-10-16 00:00:00+00:00,36,21,150,20
2024-10-17 00:00:00+00:00,22,14,104,23
2024-10-18 00:00:00+00:00,4,4,74,23
2024-10-19 00:00:00+00:00,6,5,19,9
2024-10-20 00:00:00+00:00,3,3,12,7
2024-10-21 00:00:00+00:00,11,7,90,19
2024-10-22 00:00:00+00:00,9,6,48,21
2024-10-23 00:00:00+00:00,14,10,55,21
2024-10-24 00:00:00+00:00,10,7,67,25
2024-10-25 00:00:00+00:00,5,4,58,18
2024-10-26 00:00:00+00:00,6,6,7,6
2024-10-27 00:00:00+00:00,2,1,17,10
2024-10-28 00:00:00+00:00,8,7,45,13
