time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-21 00:00:00+00:00,17,10,120,20
2023-11-22 00:00:00+00:00,12,8,85,15
2023-11-23 00:00:00+00:00,12,7,46,10
2023-11-24 00:00:00+00:00,25,12,89,8
2023-11-25 00:00:00+00:00,18,15,16,7
2023-11-26 00:00:00+00:00,1,1,3,3
2023-11-27 00:00:00+00:00,27,15,68,14
2023-11-28 00:00:00+00:00,10,7,111,11
2023-11-29 00:00:00+00:00,6,5,40,12
2023-11-30 00:00:00+00:00,4,4,32,13
2023-12-01 00:00:00+00:00,10,9,73,14
2023-12-02 00:00:00+00:00,5,5,10,7
2023-12-03 00:00:00+00:00,2,2,20,5
2023-12-04 00:00:00+00:00,6,5,32,11
